"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.15371,-0.16199,0,1.3485,1,0.707,0.707,0.5,0
-0.15322,-0.1625,0,1.3523,1,0.708,0.708,0.5,0
-0.15272,-0.16301,0,1.3561,1,0.709,0.709,0.5,0
-0.15222,-0.16352,0,1.3598,1,0.71,0.71,0.5,0
-0.1517,-0.16398,0,1.3634,1,0.711,0.711,0.5,0
-0.15118,-0.16444,0,1.367,1,0.712,0.712,0.5,0
-0.15066,-0.1649,0,1.3705,1,0.713,0.713,0.5,0
-0.15014,-0.16536,0,1.3741,1,0.714,0.714,0.5,0
-0.14961,-0.16582,0,1.3776,1,0.715,0.715,0.5,0
-0.14909,-0.16628,0,1.3812,1,0.716,0.716,0.5,0
-0.14857,-0.16674,0,1.3847,1,0.717,0.717,0.5,0
-0.14805,-0.1672,0,1.3883,1,0.718,0.718,0.5,0
-0.14753,-0.16766,0,1.3918,1,0.719,0.719,0.5,0
-0.14701,-0.16812,0,1.3954,1,0.72,0.72,0.5,0
-0.14647,-0.16854,0,1.3987,1,0.721,0.721,0.5,0
-0.14592,-0.16895,0,1.402,1,0.722,0.722,0.5,0
-0.14538,-0.16936,0,1.4054,1,0.723,0.723,0.5,0
-0.14483,-0.16977,0,1.4087,1,0.724,0.724,0.5,0
-0.14429,-0.17018,0,1.412,1,0.725,0.725,0.5,0
-0.14375,-0.17059,0,1.4153,1,0.726,0.726,0.5,0
-0.1432,-0.171,0,1.4186,1,0.727,0.727,0.5,0
-0.14266,-0.17141,0,1.422,1,0.728,0.728,0.5,0
-0.14212,-0.17182,0,1.4253,1,0.729,0.729,0.5,0
-0.14157,-0.17223,0,1.4286,1,0.73,0.73,0.5,0
-0.14101,-0.17259,0,1.4317,1,0.731,0.731,0.5,0
-0.14044,-0.17295,0,1.4347,1,0.732,0.732,0.5,0
-0.13988,-0.1733,0,1.4378,1,0.733,0.733,0.5,0
-0.13931,-0.17366,0,1.4409,1,0.734,0.734,0.5,0
-0.13875,-0.17402,0,1.444,1,0.735,0.735,0.5,0
-0.13819,-0.17438,0,1.447,1,0.736,0.736,0.5,0
-0.13762,-0.17473,0,1.4501,1,0.737,0.737,0.5,0
-0.13706,-0.17509,0,1.4532,1,0.738,0.738,0.5,0
-0.13649,-0.17545,0,1.4562,1,0.739,0.739,0.5,0
-0.13593,-0.17581,0,1.4593,1,0.74,0.74,0.5,0
-0.13534,-0.17611,0,1.4621,1,0.741,0.741,0.5,0
-0.13476,-0.17641,0,1.4649,1,0.742,0.742,0.5,0
-0.13417,-0.17671,0,1.4677,1,0.743,0.743,0.5,0
-0.13359,-0.17701,0,1.4705,1,0.744,0.744,0.5,0
-0.133,-0.17731,0,1.4733,1,0.745,0.745,0.5,0
-0.13242,-0.17761,0,1.4762,1,0.746,0.746,0.5,0
-0.13183,-0.17791,0,1.479,1,0.747,0.747,0.5,0
-0.13125,-0.17822,0,1.4818,1,0.748,0.748,0.5,0
-0.13066,-0.17852,0,1.4846,1,0.749,0.749,0.5,0
-0.13008,-0.17882,0,1.4874,1,0.75,0.75,0.5,0
-0.12947,-0.17906,0,1.4899,1,0.751,0.751,0.5,0
-0.12887,-0.1793,0,1.4924,1,0.752,0.752,0.5,0
-0.12826,-0.17954,0,1.4949,1,0.753,0.753,0.5,0
-0.12766,-0.17978,0,1.4975,1,0.754,0.754,0.5,0
-0.12706,-0.18002,0,1.5,1,0.755,0.755,0.5,0
-0.12645,-0.18026,0,1.5025,1,0.756,0.756,0.5,0
-0.12585,-0.18051,0,1.505,1,0.757,0.757,0.5,0
-0.12525,-0.18075,0,1.5076,1,0.758,0.758,0.5,0
-0.12464,-0.18099,0,1.5101,1,0.759,0.759,0.5,0
-0.12404,-0.18123,0,1.5126,1,0.76,0.76,0.5,0
-0.12342,-0.18141,0,1.5148,1,0.761,0.761,0.5,0
-0.1228,-0.18159,0,1.517,1,0.762,0.762,0.5,0
-0.12217,-0.18176,0,1.5193,1,0.763,0.763,0.5,0
-0.12155,-0.18194,0,1.5215,1,0.764,0.764,0.5,0
-0.12093,-0.18212,0,1.5237,1,0.765,0.765,0.5,0
-0.12031,-0.1823,0,1.5259,1,0.766,0.766,0.5,0
-0.11969,-0.18248,0,1.5282,1,0.767,0.767,0.5,0
-0.11907,-0.18265,0,1.5304,1,0.768,0.768,0.5,0
-0.11845,-0.18283,0,1.5326,1,0.769,0.769,0.5,0
-0.11783,-0.18301,0,1.5348,1,0.77,0.77,0.5,0
-0.11719,-0.18312,0,1.5367,1,0.771,0.771,0.5,0
-0.11655,-0.18324,0,1.5387,1,0.772,0.772,0.5,0
-0.11592,-0.18335,0,1.5406,1,0.773,0.773,0.5,0
-0.11528,-0.18346,0,1.5425,1,0.774,0.774,0.5,0
-0.11464,-0.18357,0,1.5444,1,0.775,0.775,0.5,0
-0.11401,-0.18368,0,1.5463,1,0.776,0.776,0.5,0
-0.11337,-0.18379,0,1.5482,1,0.777,0.777,0.5,0
-0.11274,-0.18391,0,1.5501,1,0.778,0.778,0.5,0
-0.1121,-0.18402,0,1.552,1,0.779,0.779,0.5,0
-0.11146,-0.18413,0,1.5539,1,0.78,0.78,0.5,0
-0.11081,-0.18417,0,1.5555,1,0.781,0.781,0.5,0
-0.11016,-0.18422,0,1.5571,1,0.782,0.782,0.5,0
-0.10951,-0.18426,0,1.5586,1,0.783,0.783,0.5,0
-0.10886,-0.1843,0,1.5602,1,0.784,0.784,0.5,0
-0.10821,-0.18434,0,1.5618,1,0.785,0.785,0.5,0
-0.10756,-0.18439,0,1.5634,1,0.786,0.786,0.5,0
-0.10691,-0.18443,0,1.5649,1,0.787,0.787,0.5,0
-0.10626,-0.18447,0,1.5665,1,0.788,0.788,0.5,0
-0.10561,-0.18451,0,1.5681,1,0.789,0.789,0.5,0
-0.10496,-0.18456,0,1.5697,1,0.79,0.79,0.5,0
